bill_date,ALCALINAS,BOMBILLOS,ENCENDEDORES,MANGANESO,OTROS,TERCEROS,month,year,year_month,date
2018-08-17 05:00:00+00:00,1335.0,484.0,2262.0,20041.0,1706.0,0.0,8,2018,2018-08-01,2018-08-17
2018-08-18 05:00:00+00:00,10.0,0.0,0.0,1050.0,648.0,0.0,8,2018,2018-08-01,2018-08-18
2018-08-19 05:00:00+00:00,0.0,0.0,0.0,2160.0,0.0,0.0,8,2018,2018-08-01,2018-08-19
2018-08-20 05:00:00+00:00,45.0,16.0,20.0,339.0,12.0,0.0,8,2018,2018-08-01,2018-08-20
2018-08-21 05:00:00+00:00,735.0,279.0,1167.0,5626.0,1262.0,0.0,8,2018,2018-08-01,2018-08-21
2018-08-22 05:00:00+00:00,2965.0,376.0,2920.0,13452.0,584.0,0.0,8,2018,2018-08-01,2018-08-22
2018-08-23 05:00:00+00:00,2604.0,447.0,2034.0,18379.0,463.0,0.0,8,2018,2018-08-01,2018-08-23
2018-08-24 05:00:00+00:00,1770.0,617.0,1561.0,14149.0,1122.0,0.0,8,2018,2018-08-01,2018-08-24
2018-08-25 05:00:00+00:00,420.0,124.0,1498.0,22749.0,175.0,0.0,8,2018,2018-08-01,2018-08-25
2018-08-27 05:00:00+00:00,621.0,280.0,1248.0,7421.0,492.0,0.0,8,2018,2018-08-01,2018-08-27
2018-08-28 05:00:00+00:00,2433.0,305.0,2730.0,11037.0,824.0,0.0,8,2018,2018-08-01,2018-08-28
2018-08-29 05:00:00+00:00,2386.0,215.0,1576.0,13539.0,603.0,0.0,8,2018,2018-08-01,2018-08-29
2018-08-30 05:00:00+00:00,1975.0,442.0,1897.0,15900.0,628.0,0.0,8,2018,2018-08-01,2018-08-30
2018-08-31 05:00:00+00:00,2094.0,86.0,1390.0,9565.0,621.0,0.0,8,2018,2018-08-01,2018-08-31
2018-09-03 05:00:00+00:00,50.0,6.0,224.0,778.0,2.0,0.0,9,2018,2018-09-01,2018-09-03
2018-09-04 05:00:00+00:00,484.0,27.0,68.0,520.0,165.0,0.0,9,2018,2018-09-01,2018-09-04
2018-09-05 05:00:00+00:00,2092.0,742.0,5405.0,20432.0,1403.0,0.0,9,2018,2018-09-01,2018-09-05
2018-09-06 05:00:00+00:00,5500.0,2387.0,17355.0,82426.0,6058.0,0.0,9,2018,2018-09-01,2018-09-06
2018-09-07 05:00:00+00:00,6016.0,1513.0,11772.0,51387.0,4034.0,0.0,9,2018,2018-09-01,2018-09-07
2018-09-08 05:00:00+00:00,2359.0,1087.0,8020.0,28102.0,3036.0,0.0,9,2018,2018-09-01,2018-09-08
2018-09-09 05:00:00+00:00,302.0,340.0,1756.0,6725.0,227.0,0.0,9,2018,2018-09-01,2018-09-09
2018-09-10 05:00:00+00:00,2258.0,758.0,3395.0,23029.0,1623.0,0.0,9,2018,2018-09-01,2018-09-10
2018-09-11 05:00:00+00:00,2202.0,917.0,6485.0,17676.0,1487.0,0.0,9,2018,2018-09-01,2018-09-11
2018-09-12 05:00:00+00:00,3328.0,1102.0,7789.0,33324.0,2197.0,0.0,9,2018,2018-09-01,2018-09-12
2018-09-13 05:00:00+00:00,6894.0,3426.0,17246.0,78025.0,6252.0,0.0,9,2018,2018-09-01,2018-09-13
